Job Date,Waste Desc,Bin Qty,Tonnage
01/11/2018,Dry Mixed Recyclate,3,0.126
01/11/2018,General Waste,8,0.65
02/11/2018,Dry Mixed Recyclate,3,0.123
02/11/2018,General Waste,8,0.712
03/11/2018,Dry Mixed Recyclate,3,0.133
03/11/2018,General Waste,8,0.645
05/11/2018,Dry Mixed Recyclate,3,0.138
05/11/2018,General Waste,8,1.025
05/11/2018,Kitchen/Canteen Wast,4,0.105
05/11/2018,Glass,1,0
06/11/2018,Dry Mixed Recyclate,3,0.15
06/11/2018,General Waste,8,0.612
07/11/2018,Dry Mixed Recyclate,3,0.151
07/11/2018,General Waste,8,0.526
08/11/2018,Dry Mixed Recyclate,3,0.183
08/11/2018,General Waste,8,0.573
09/11/2018,Dry Mixed Recyclate,3,0.25
09/11/2018,General Waste,8,0.75
10/11/2018,Dry Mixed Recyclate,3,0
10/11/2018,General Waste,8,0
10/11/2018,Dry Mixed Recyclate,3,0.112
10/11/2018,General Waste,8,0.557
12/11/2018,Dry Mixed Recyclate,3,0.046
12/11/2018,General Waste,8,0.588
12/11/2018,Kitchen/Canteen Wast,4,0
12/11/2018,Glass,1,0
13/11/2018,Dry Mixed Recyclate,3,0.02
13/11/2018,General Waste,8,0.1
14/11/2018,Dry Mixed Recyclate,3,0.103
14/11/2018,General Waste,8,0.491
15/11/2018,Dry Mixed Recyclate,3,0.14
15/11/2018,General Waste,8,0.774
16/11/2018,Dry Mixed Recyclate,3,0.08
16/11/2018,General Waste,8,0.21
17/11/2018,Dry Mixed Recyclate,3,0.057
17/11/2018,General Waste,8,0.336
19/11/2018,Dry Mixed Recyclate,3,0.044
19/11/2018,General Waste,8,0.984
19/11/2018,Kitchen/Canteen Wast,4,0.3
19/11/2018,Glass,1,0
20/11/2018,Dry Mixed Recyclate,3,0.129
20/11/2018,General Waste,8,0.609
21/11/2018,Dry Mixed Recyclate,3,0.087
21/11/2018,General Waste,8,0.543
22/11/2018,Dry Mixed Recyclate,3,0.15
22/11/2018,General Waste,8,0.841
23/11/2018,Dry Mixed Recyclate,3,0.18
23/11/2018,General Waste,8,0.735
24/11/2018,Dry Mixed Recyclate,3,0.287
24/11/2018,General Waste,8,0.614
26/11/2018,Dry Mixed Recyclate,3,0.079
26/11/2018,General Waste,8,1.102
26/11/2018,Kitchen/Canteen Wast,4,0.25
26/11/2018,Glass,1,0
27/11/2018,Dry Mixed Recyclate,3,0.15
27/11/2018,General Waste,8,0.58
28/11/2018,Dry Mixed Recyclate,3,0.101
28/11/2018,General Waste,8,0.655
29/11/2018,Dry Mixed Recyclate,3,0.082
29/11/2018,General Waste,8,0.557
30/11/2018,Dry Mixed Recyclate,3,0.2
30/11/2018,General Waste,8,0.6
01/12/2018,Dry Mixed Recyclate,3,0.101
01/12/2018,General Waste,8,0.499
03/12/2018,Dry Mixed Recyclate,3,0.104
03/12/2018,General Waste,8,1.137
03/12/2018,Kitchen/Canteen Wast,4,0.16
03/12/2018,Glass,1,0
04/12/2018,Dry Mixed Recyclate,3,0.09
04/12/2018,General Waste,8,0.75
05/12/2018,Dry Mixed Recyclate,3,0.109
05/12/2018,General Waste,8,0.686
